tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
36.203,26.841679298777706,30.689261065365432,7.67623076608172,14.528388814130963,-1.0,-1.0,0.6,0.7,Automático,20.0,17.0,0.8,0.6,1.0,1.0,0.5
36.668,26.380728121999415,30.284412404011412,7.3651157525598245,14.193664038985997,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
37.218,26.1016856752383,30.039469080717602,7.178439693612834,13.99205186339748,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
37.697,25.699919759768868,29.68698387925046,6.911877968652402,13.703123458159558,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
38.125,25.248236197275382,29.2909697696499,6.615340038271416,13.380212177615611,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
38.622,24.603739822542533,28.726408972548136,6.198033547725454,12.922989237153741,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
39.18,24.017994403387867,28.213844174706168,5.8247707094917835,12.511074702364922,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
39.754,23.491277426056726,27.753384627655585,5.494070146432988,12.143647008893563,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
40.164,23.191726828379256,27.491713623899862,5.3081104495869385,11.935952895549349,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
40.679,22.389036335246292,26.791270730451345,4.817471096957126,11.383976964166079,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
41.143,22.014309081357702,26.464665671565978,4.592300298557098,11.128594524892588,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
